Binding Energy/eV,Intensity
1400.4,13902.9
1400.0,13561.8
1399.6,13670.6
1399.2,13452.9
1398.8,13767.6
1398.4,13482.4
1398.0,13326.5
1397.6,13294.1
1397.2,13347.1
1396.8,13229.4
1396.4,13435.3
1396.0,13300.0
1395.6,13347.1
1395.2,13726.5
1394.8,13247.1
1394.4,13405.9
1394.0,13100.0
1393.6,13067.6
1393.2,13097.1
1392.8,13158.8
1392.4,13214.7
1392.0,13247.1
1391.6,13500.0
1391.2,13350.0
1390.8,12985.3
1390.4,13152.9
1390.0,12747.1
1389.6,13273.5
1389.2,13041.2
1388.8,13076.5
1388.4,13488.2
1388.0,13188.2
1387.6,13267.6
1387.2,12750.0
1386.8,12794.1
1386.4,13141.2
1386.0,12979.4
1385.6,13167.6
1385.2,12708.8
1384.8,13297.1
1384.4,12876.5
1384.0,12852.9
1383.6,12661.8
1383.2,13076.5
1382.8,12741.2
1382.4,12879.4
1382.0,12841.2
1381.6,12773.5
1381.2,12347.1
1380.8,12852.9
1380.4,12914.7
1380.0,12838.2
1379.6,12973.5
1379.2,12232.4
1378.8,13132.4
1378.4,12729.4
1378.0,12744.1
1377.6,12776.5
1377.2,12311.8
1376.8,12152.9
1376.4,12535.3
1376.0,12800.0
1375.6,12591.2
1375.2,12585.3
1374.8,12776.5
1374.4,11920.6
1374.0,12652.9
1373.6,12332.4
1373.2,11979.4
1372.8,12226.5
1372.4,12552.9
1372.0,12247.1
1371.6,12414.7
1371.2,12182.4
1370.8,12579.4
1370.4,12270.6
1370.0,12394.1
1369.6,12085.3
1369.2,12311.8
1368.8,12008.8
1368.4,12550.0
1368.0,12550.0
1367.6,12411.8
1367.2,12132.4
1366.8,12261.8
1366.4,11867.6
1366.0,12158.8
1365.6,12167.6
1365.2,12288.2
1364.8,12358.8
1364.4,12164.7
1364.0,12261.8
1363.6,12564.7
1363.2,11697.1
1362.8,11935.3
1362.4,11926.5
1362.0,12032.4
1361.6,12038.2
1361.2,11705.9
1360.8,12079.4
1360.4,12108.8
1360.0,12105.9
1359.6,11814.7
1359.2,11729.4
1358.8,11844.1
1358.4,11791.2
1358.0,11855.9
1357.6,11805.9
1357.2,11750.0
1356.8,11897.1
1356.4,12141.2
1356.0,11958.8
1355.6,11776.5
1355.2,11717.6
1354.8,11935.3
1354.4,11805.9
1354.0,11850.0
1353.6,11602.9
1353.2,11702.9
1352.8,11997.1
1352.4,11923.5
1352.0,11582.4
1351.6,11985.3
1351.2,11414.7
1350.8,11641.2
1350.4,11735.3
1350.0,11461.8
1349.6,11711.8
1349.2,11620.6
1348.8,11773.5
1348.4,11761.8
1348.0,11711.8
1347.6,11594.1
1347.2,11526.5
1346.8,11885.3
1346.4,11326.5
1346.0,11558.8
1345.6,11773.5
1345.2,11905.9
1344.8,11764.7
1344.4,11423.5
1344.0,11691.2
1343.6,11791.2
1343.2,11232.4
1342.8,11608.8
1342.4,11361.8
1342.0,11805.9
1341.6,11508.8
1341.2,11220.6
1340.8,11264.7
1340.4,11129.4
1340.0,11432.4
1339.6,11620.6
1339.2,11464.7
1338.8,11152.9
1338.4,11258.8
1338.0,11132.4
1337.6,11188.2
1337.2,11317.6
1336.8,11423.5
1336.4,11138.2
1336.0,11282.4
1335.6,11052.9
1335.2,10976.5
1334.8,10947.1
1334.4,10961.8
1334.0,10629.4
1333.6,10994.1
1333.2,10344.1
1332.8,11273.5
1332.4,10700.0
1332.0,10523.5
1331.6,10835.3
1331.2,10720.6
1330.8,10832.4
1330.4,10423.5
1330.0,10714.7
1329.6,10570.6
1329.2,10526.5
1328.8,10432.4
1328.4,10611.8
1328.0,10500.0
1327.6,10291.2
1327.2,10200.0
1326.8,10291.2
1326.4,10217.6
1326.0,10638.2
1325.6,10738.2
1325.2,10364.7
1324.8,10432.4
1324.4,10520.6
1324.0,10458.8
1323.6,10241.2
1323.2,10497.1
1322.8,10532.4
1322.4,10655.9
1322.0,10188.2
1321.6,10447.1
1321.2,10308.8
1320.8,10679.4
1320.4,10602.9
1320.0,10494.1
1319.6,10552.9
1319.2,10552.9
1318.8,10561.8
1318.4,10579.4
1318.0,10473.5
1317.6,10244.1
1317.2,10388.2
1316.8,10541.2
1316.4,10326.5
1316.0,10320.6
1315.6,10429.4
1315.2,10155.9
1314.8,10447.1
1314.4,10179.4
1314.0,10326.5
1313.6,10367.6
1313.2,10770.6
1312.8,10279.4
1312.4,10461.8
1312.0,10538.2
1311.6,10611.8
1311.2,10647.1
1310.8,10329.4
1310.4,10458.8
1310.0,10350.0
1309.6,10335.3
1309.2,10685.3
1308.8,10358.8
1308.4,10741.2
1308.0,10647.1
1307.6,10397.1
1307.2,10464.7
1306.8,10611.8
1306.4,10494.1
1306.0,10641.2
1305.6,10552.9
1305.2,10767.6
1304.8,10523.5
1304.4,10697.1
1304.0,10708.8
1303.6,10488.2
1303.2,10450.0
1302.8,10582.4
1302.4,10400.0
1302.0,10552.9
1301.6,10458.8
1301.2,10241.2
1300.8,10670.6
1300.4,10429.4
1300.0,10938.2
1299.6,10385.3
1299.2,10811.8
1298.8,10561.8
1298.4,10641.2
1298.0,10614.7
1297.6,10300.0
1297.2,10614.7
1296.8,10797.1
1296.4,10461.8
1296.0,10314.7
1295.6,10041.2
1295.2,10447.1
1294.8,10538.2
1294.4,10350.0
1294.0,10273.5
1293.6,10679.4
1293.2,10470.6
1292.8,10455.9
1292.4,10585.3
1292.0,10605.9
1291.6,10173.5
1291.2,10873.5
1290.8,10438.2
1290.4,10600.0
1290.0,10785.3
1289.6,10697.1
1289.2,10994.1
1288.8,10961.8
1288.4,10379.4
1288.0,10594.1
1287.6,10723.5
1287.2,10864.7
1286.8,11017.6
1286.4,10685.3
1286.0,10676.5
1285.6,10758.8
1285.2,10779.4
1284.8,10800.0
1284.4,10423.5
1284.0,10867.6
1283.6,10905.9
1283.2,10864.7
1282.8,10761.8
1282.4,10838.2
1282.0,11038.2
1281.6,10702.9
1281.2,10729.4
1280.8,10658.8
1280.4,11076.5
1280.0,10829.4
1279.6,10517.6
1279.2,10885.3
1278.8,10858.8
1278.4,10758.8
1278.0,11002.9
1277.6,10958.8
1277.2,10932.4
1276.8,11167.6
1276.4,10982.4
1276.0,10947.1
1275.6,10864.7
1275.2,10979.4
1274.8,11120.6
1274.4,10802.9
1274.0,11214.7
1273.6,10955.9
1273.2,10838.2
1272.8,10741.2
1272.4,11014.7
1272.0,10635.3
1271.6,10805.9
1271.2,11041.2
1270.8,11108.8
1270.4,10764.7
1270.0,11358.8
1269.6,11379.4
1269.2,11361.8
1268.8,11126.5
1268.4,10785.3
1268.0,11008.8
1267.6,11311.8
1267.2,11208.8
1266.8,11311.8
1266.4,11000.0
1266.0,11073.5
1265.6,11361.8
1265.2,11179.4
1264.8,11302.9
1264.4,11297.1
1264.0,11044.1
1263.6,11229.4
1263.2,11185.3
1262.8,11235.3
1262.4,11514.7
1262.0,11144.1
1261.6,11535.3
1261.2,11138.2
1260.8,11300.0
1260.4,11197.1
1260.0,11002.9
1259.6,11511.8
1259.2,11602.9
1258.8,11226.5
1258.4,11305.9
1258.0,11038.2
1257.6,11685.3
1257.2,11288.2
1256.8,11470.6
1256.4,11247.1
1256.0,11385.3
1255.6,11620.6
1255.2,11235.3
1254.8,11532.4
1254.4,11347.1
1254.0,11685.3
1253.6,11650.0
1253.2,11514.7
1252.8,11517.6
1252.4,11747.1
1252.0,11655.9
1251.6,11588.2
1251.2,11747.1
1250.8,11747.1
1250.4,11623.5
1250.0,11814.7
1249.6,11676.5
1249.2,12208.8
1248.8,11858.8
1248.4,12152.9
1248.0,11952.9
1247.6,12070.6
1247.2,11600.0
1246.8,12023.5
1246.4,12244.1
1246.0,11979.4
1245.6,12038.2
1245.2,11794.1
1244.8,12326.5
1244.4,12058.8
1244.0,12326.5
1243.6,12155.9
1243.2,12285.3
1242.8,12323.5
1242.4,12211.8
1242.0,12150.0
1241.6,12182.4
1241.2,12214.7
1240.8,12155.9
1240.4,12232.4
1240.0,12308.8
1239.6,12152.9
1239.2,12270.6
1238.8,12297.1
1238.4,12105.9
1238.0,12000.0
1237.6,12282.4
1237.2,12273.5
1236.8,12155.9
1236.4,12038.2
1236.0,11882.4
1235.6,11982.4
1235.2,12250.0
1234.8,12170.6
1234.4,12235.3
1234.0,12141.2
1233.6,12255.9
1233.2,12394.1
1232.8,12414.7
1232.4,12582.4
1232.0,12200.0
1231.6,12664.7
1231.2,12702.9
1230.8,13226.5
1230.4,13523.5
1230.0,13150.0
1229.6,12864.7
1229.2,13297.1
1228.8,13400.0
1228.4,13170.6
1228.0,13261.8
1227.6,13382.4
1227.2,13455.9
1226.8,13267.6
1226.4,13329.4
1226.0,13441.2
1225.6,13067.6
1225.2,13402.9
1224.8,12950.0
1224.4,13038.2
1224.0,13158.8
1223.6,13158.8
1223.2,13120.6
1222.8,12947.1
1222.4,13011.8
1222.0,12955.9
1221.6,12911.8
1221.2,13120.6
1220.8,12744.1
1220.4,12511.8
1220.0,12291.2
1219.6,12526.5
1219.2,12226.5
1218.8,12623.5
1218.4,12514.7
1218.0,11717.6
1217.6,11785.3
1217.2,11944.1
1216.8,11873.5
1216.4,11758.8
1216.0,11402.9
1215.6,11308.8
1215.2,11250.0
1214.8,11208.8
1214.4,11179.4
1214.0,10970.6
1213.6,10988.2
1213.2,10958.8
1212.8,10970.6
1212.4,11050.0
1212.0,10908.8
1211.6,11076.5
1211.2,10635.3
1210.8,10958.8
1210.4,10758.8
1210.0,10744.1
1209.6,10994.1
1209.2,11008.8
1208.8,10794.1
1208.4,11055.9
1208.0,11238.2
1207.6,11202.9
1207.2,11008.8
1206.8,11132.4
1206.4,11141.2
1206.0,10832.4
1205.6,10808.8
1205.2,11347.1
1204.8,11161.8
1204.4,10938.2
1204.0,10982.4
1203.6,11135.3
1203.2,11008.8
1202.8,11320.6
1202.4,11205.9
1202.0,11029.4
1201.6,11152.9
1201.2,11005.9
1200.8,11035.3
1200.4,11035.3
1200.0,11152.9
1199.6,11014.7
1199.2,11050.0
1198.8,10820.6
1198.4,11320.6
1198.0,11255.9
1197.6,11094.1
1197.2,11338.2
1196.8,11264.7
1196.4,11164.7
1196.0,11088.2
1195.6,10958.8
1195.2,11232.4
1194.8,11294.1
1194.4,11585.3
1194.0,11232.4
1193.6,10947.1
1193.2,11341.2
1192.8,11038.2
1192.4,11623.5
1192.0,11361.8
1191.6,11167.6
1191.2,11250.0
1190.8,11194.1
1190.4,10950.0
1190.0,11358.8
1189.6,11635.3
1189.2,11541.2
1188.8,11611.8
1188.4,11400.0
1188.0,11297.1
1187.6,11388.2
1187.2,11152.9
1186.8,11517.6
1186.4,11535.3
1186.0,11473.5
1185.6,11464.7
1185.2,11850.0
1184.8,11491.2
1184.4,11744.1
1184.0,11226.5
1183.6,11155.9
1183.2,11632.4
1182.8,11494.1
1182.4,11305.9
1182.0,11667.6
1181.6,11764.7
1181.2,11517.6
1180.8,11447.1
1180.4,11547.1
1180.0,11141.2
1179.6,11797.1
1179.2,11941.2
1178.8,11685.3
1178.4,11544.1
1178.0,11397.1
1177.6,11788.2
1177.2,11894.1
1176.8,11755.9
1176.4,11747.1
1176.0,11626.5
1175.6,11776.5
1175.2,11591.2
1174.8,11882.4
1174.4,11741.2
1174.0,11658.8
1173.6,11670.6
1173.2,11679.4
1172.8,11432.4
1172.4,12135.3
1172.0,11950.0
1171.6,11985.3
1171.2,11850.0
1170.8,11917.6
1170.4,11858.8
1170.0,11867.6
1169.6,12205.9
1169.2,11794.1
1168.8,12088.2
1168.4,12376.5
1168.0,11476.5
1167.6,11808.8
1167.2,12102.9
1166.8,12032.4
1166.4,11802.9
1166.0,12173.5
1165.6,12197.1
1165.2,11926.5
1164.8,12170.6
1164.4,11576.5
1164.0,12061.8
1163.6,12117.6
1163.2,12523.5
1162.8,12167.6
1162.4,12523.5
1162.0,12250.0
1161.6,12082.4
1161.2,12123.5
1160.8,12282.4
1160.4,12420.6
1160.0,12450.0
1159.6,12111.8
1159.2,12117.6
1158.8,12114.7
1158.4,12526.5
1158.0,12211.8
1157.6,12494.1
1157.2,12388.2
1156.8,12252.9
1156.4,12532.4
1156.0,12505.9
1155.6,12314.7
1155.2,12350.0
1154.8,12564.7
1154.4,12441.2
1154.0,12391.2
1153.6,12470.6
1153.2,12597.1
1152.8,12573.5
1152.4,12935.3
1152.0,12320.6
1151.6,12429.4
1151.2,12820.6
1150.8,12397.1
1150.4,12623.5
1150.0,12870.6
1149.6,12870.6
1149.2,12141.2
1148.8,12682.4
1148.4,12735.3
1148.0,12917.6
1147.6,12373.5
1147.2,12667.6
1146.8,12700.0
1146.4,12805.9
1146.0,12576.5
1145.6,12538.2
1145.2,12638.2
1144.8,12988.2
1144.4,12897.1
1144.0,12926.5
1143.6,12861.8
1143.2,12629.4
1142.8,12935.3
1142.4,12835.3
1142.0,12976.5
1141.6,13079.4
1141.2,13473.5
1140.8,13020.6
1140.4,13061.8
1140.0,12661.8
1139.6,13061.8
1139.2,12964.7
1138.8,12970.6
1138.4,12823.5
1138.0,13085.3
1137.6,12832.4
1137.2,12982.4
1136.8,12744.1
1136.4,12876.5
1136.0,13488.2
1135.6,13073.5
1135.2,13379.4
1134.8,13291.2
1134.4,12938.2
1134.0,13323.5
1133.6,13429.4
1133.2,13335.3
1132.8,13055.9
1132.4,13520.6
1132.0,13391.2
1131.6,13605.9
1131.2,13441.2
1130.8,13176.5
1130.4,13388.2
1130.0,13494.1
1129.6,13564.7
1129.2,13570.6
1128.8,13317.6
1128.4,13450.0
1128.0,13632.4
1127.6,13729.4
1127.2,13629.4
1126.8,14091.2
1126.4,13432.4
1126.0,13805.9
1125.6,13579.4
1125.2,13791.2
1124.8,13573.5
1124.4,13785.3
1124.0,13658.8
1123.6,13920.6
1123.2,14120.6
1122.8,13800.0
1122.4,13352.9
1122.0,14076.5
1121.6,13758.8
1121.2,13920.6
1120.8,14185.3
1120.4,13873.5
1120.0,13429.4
1119.6,13847.1
1119.2,13867.6
1118.8,13694.1
1118.4,13873.5
1118.0,13355.9
1117.6,13547.1
1117.2,13926.5
1116.8,13988.2
1116.4,13626.5
1116.0,14000.0
1115.6,13485.3
1115.2,13950.0
1114.8,13720.6
1114.4,13855.9
1114.0,13917.6
1113.6,14176.5
1113.2,13888.2
1112.8,13988.2
1112.4,14300.0
1112.0,13855.9
1111.6,14338.2
1111.2,14135.3
1110.8,14144.1
1110.4,14282.4
1110.0,14238.2
1109.6,13917.6
1109.2,14108.8
1108.8,14479.4
1108.4,14429.4
1108.0,14173.5
1107.6,14058.8
1107.2,14391.2
1106.8,14185.3
1106.4,14597.1
1106.0,14802.9
1105.6,14747.1
1105.2,14552.9
1104.8,14014.7
1104.4,14617.6
1104.0,14558.8
1103.6,14623.5
1103.2,14508.8
1102.8,14691.2
1102.4,14326.5
1102.0,14191.2
1101.6,14100.0
1101.2,14308.8
1100.8,14138.2
1100.4,14179.4
1100.0,14114.7
1099.6,13905.9
1099.2,14123.5
1098.8,14258.8
1098.4,14067.6
1098.0,14247.1
1097.6,13520.6
1097.2,14114.7
1096.8,14100.0
1096.4,14341.2
1096.0,13967.6
1095.6,14211.8
1095.2,14111.8
1094.8,14017.6
1094.4,13905.9
1094.0,14073.5
1093.6,14100.0
1093.2,14255.9
1092.8,13923.5
1092.4,14500.0
1092.0,14138.2
1091.6,14067.6
1091.2,13970.6
1090.8,14144.1
1090.4,14250.0
1090.0,13938.2
1089.6,14288.2
1089.2,14373.5
1088.8,14420.6
1088.4,14529.4
1088.0,14123.5
1087.6,13773.5
1087.2,13867.6
1086.8,14252.9
1086.4,14338.2
1086.0,14288.2
1085.6,14538.2
1085.2,14194.1
1084.8,13979.4
1084.4,14223.5
1084.0,14773.5
1083.6,14414.7
1083.2,14126.5
1082.8,14347.1
1082.4,14617.6
1082.0,14576.5
1081.6,14423.5
1081.2,14379.4
1080.8,14235.3
1080.4,14526.5
1080.0,14488.2
1079.6,14229.4
1079.2,14194.1
1078.8,14400.0
1078.4,14247.1
1078.0,13976.5
1077.6,14523.5
1077.2,14602.9
1076.8,14255.9
1076.4,14767.6
1076.0,14385.3
1075.6,14641.2
1075.2,14623.5
1074.8,14358.8
1074.4,14785.3
1074.0,14320.6
1073.6,14782.4
1073.2,14970.6
1072.8,15064.7
1072.4,15070.6
1072.0,14767.6
1071.6,14888.2
1071.2,14811.8
1070.8,15264.7
1070.4,15385.3
1070.0,14885.3
1069.6,15217.6
1069.2,14985.3
1068.8,14879.4
1068.4,15194.1
1068.0,15094.1
1067.6,14991.2
1067.2,15170.6
1066.8,14961.8
1066.4,15011.8
1066.0,14973.5
1065.6,14711.8
1065.2,15105.9
1064.8,15067.6
1064.4,15011.8
1064.0,14961.8
1063.6,15479.4
1063.2,15229.4
1062.8,15470.6
1062.4,15014.7
1062.0,15461.8
1061.6,14973.5
1061.2,15191.2
1060.8,15052.9
1060.4,15311.8
1060.0,15323.5
1059.6,15511.8
1059.2,15097.1
1058.8,15311.8
1058.4,15385.3
1058.0,15002.9
1057.6,15394.1
1057.2,15729.4
1056.8,15629.4
1056.4,15355.9
1056.0,15485.3
1055.6,15847.1
1055.2,15391.2
1054.8,15685.3
1054.4,15576.5
1054.0,15802.9
1053.6,16055.9
1053.2,15514.7
1052.8,15623.5
1052.4,15570.6
1052.0,15614.7
1051.6,15617.6
1051.2,15605.9
1050.8,15620.6
1050.4,15623.5
1050.0,15720.6
1049.6,15576.5
1049.2,15820.6
1048.8,15973.5
1048.4,15444.1
1048.0,15629.4
1047.6,15923.5
1047.2,15985.3
1046.8,16264.7
1046.4,16364.7
1046.0,15873.5
1045.6,15952.9
1045.2,16294.1
1044.8,16088.2
1044.4,16050.0
1044.0,16270.6
1043.6,16194.1
1043.2,15911.8
1042.8,16114.7
1042.4,15582.4
1042.0,15891.2
1041.6,16082.4
1041.2,15755.9
1040.8,16435.3
1040.4,15947.1
1040.0,16073.5
1039.6,16308.8
1039.2,16394.1
1038.8,16297.1
1038.4,16741.2
1038.0,16511.8
1037.6,16555.9
1037.2,16352.9
1036.8,16341.2
1036.4,16414.7
1036.0,16052.9
1035.6,16679.4
1035.2,16129.4
1034.8,16552.9
1034.4,16447.1
1034.0,16670.6
1033.6,16511.8
1033.2,16494.1
1032.8,16514.7
1032.4,16641.2
1032.0,16502.9
1031.6,16417.6
1031.2,16638.2
1030.8,17011.8
1030.4,16608.8
1030.0,16861.8
1029.6,16844.1
1029.2,16614.7
1028.8,16958.8
1028.4,16732.4
1028.0,16629.4
1027.6,17050.0
1027.2,16867.6
1026.8,16700.0
1026.4,16908.8
1026.0,16623.5
1025.6,16361.8
1025.2,16905.9
1024.8,17094.1
1024.4,16447.1
1024.0,16564.7
1023.6,16729.4
1023.2,17020.6
1022.8,17829.4
1022.4,17100.0
1022.0,17752.9
1021.6,17991.2
1021.2,17550.0
1020.8,17814.7
1020.4,17902.9
1020.0,17420.6
1019.6,17288.2
1019.2,17355.9
1018.8,17594.1
1018.4,17082.4
1018.0,17450.0
1017.6,17382.4
1017.2,17620.6
1016.8,17414.7
1016.4,17158.8
1016.0,17829.4
1015.6,17376.5
1015.2,17441.2
1014.8,17650.0
1014.4,17132.4
1014.0,17688.2
1013.6,17523.5
1013.2,17517.6
1012.8,17452.9
1012.4,17397.1
1012.0,17335.3
1011.6,17361.8
1011.2,17297.1
1010.8,17714.7
1010.4,17258.8
1010.0,17326.5
1009.6,17847.1
1009.2,17600.0
1008.8,17547.1
1008.4,17808.8
1008.0,17555.9
1007.6,18105.9
1007.2,17879.4
1006.8,18111.8
1006.4,17973.5
1006.0,18294.1
1005.6,18176.5
1005.2,17852.9
1004.8,17923.5
1004.4,18429.4
1004.0,18100.0
1003.6,18408.8
1003.2,18635.3
1002.8,18735.3
1002.4,18552.9
1002.0,18702.9
1001.6,18523.5
1001.2,18394.1
1000.8,18708.8
1000.4,18720.6
1000.0,19047.1
999.6,18461.8
999.2,18632.4
998.8,19264.7
998.4,18208.8
998.0,18870.6
997.6,18902.9
997.2,18891.2
996.8,19023.5
996.4,18600.0
996.0,18441.2
995.6,18273.5
995.2,18250.0
994.8,18670.6
994.4,18608.8
994.0,18194.1
993.6,18470.6
993.2,17811.8
992.8,18641.2
992.4,17276.5
992.0,17897.1
991.6,18476.5
991.2,17967.6
990.8,18176.5
990.4,17932.4
990.0,17885.3
989.6,17702.9
989.2,17679.4
988.8,17623.5
988.4,18161.8
988.0,18179.4
987.6,17920.6
987.2,18188.2
986.8,18114.7
986.4,18147.1
986.0,18085.3
985.6,17708.8
985.2,18247.1
984.8,18467.6
984.4,18552.9
984.0,18420.6
983.6,18647.1
983.2,18320.6
982.8,18688.2
982.4,18797.1
982.0,19176.5
981.6,19161.8
981.2,19902.9
980.8,20035.3
980.4,19747.1
980.0,20161.8
979.6,20661.8
979.2,21082.4
978.8,20691.2
978.4,20935.3
978.0,20970.6
977.6,21288.2
977.2,21029.4
976.8,21341.2
976.4,21441.2
976.0,21555.9
975.6,20858.8
975.2,20867.6
974.8,20614.7
974.4,20682.4
974.0,20232.4
973.6,19852.9
973.2,20026.5
972.8,19500.0
972.4,19655.9
972.0,19447.1
971.6,19200.0
971.2,18902.9
970.8,18588.2
970.4,18432.4
970.0,18264.7
969.6,18002.9
969.2,18102.9
968.8,17620.6
968.4,17467.6
968.0,18032.4
967.6,17388.2
967.2,17570.6
966.8,17752.9
966.4,17455.9
966.0,17420.6
965.6,16991.2
965.2,16764.7
964.8,16405.9
964.4,17388.2
964.0,17179.4
963.6,16564.7
963.2,17061.8
962.8,17335.3
962.4,16858.8
962.0,16888.2
961.6,16732.4
961.2,17320.6
960.8,16964.7
960.4,16650.0
960.0,16723.5
959.6,17276.5
959.2,17420.6
958.8,16858.8
958.4,16764.7
958.0,16726.5
957.6,16558.8
957.2,16773.5
956.8,16570.6
