,,,,,,
,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.8,,,
BE_C 1s 1,CPS_C 1s 1,C 1s_1_C 1s 1,C 1s_2_C 1s 1,C 1s_3_C 1s 1,Background_C 1s 1,Envelope_C 1s 1
299.1,1888.93,1889.19,1889.13,1889.45,1888.93,1889.91
298.975,1877.14,1877.41,1877.35,1877.69,1877.14,1878.17
298.85,1851.79,1852.06,1852,1852.37,1851.79,1852.86
298.725,1753.93,1754.21,1754.15,1754.55,1753.93,1755.06
298.6,1839.64,1839.93,1839.87,1840.31,1839.64,1840.82
298.475,1796.43,1796.73,1796.66,1797.13,1796.43,1797.66
298.35,1761.43,1761.74,1761.67,1762.17,1761.43,1762.72
298.225,1790.71,1791.03,1790.96,1791.51,1790.71,1792.08
298.1,1765.36,1765.68,1765.61,1766.21,1765.36,1766.8
297.975,1724.64,1724.98,1724.91,1725.56,1724.64,1726.16
297.85,1718.21,1718.56,1718.49,1719.18,1718.21,1719.8
297.725,1747.14,1747.5,1747.43,1748.19,1747.14,1748.83
297.6,1640.36,1640.72,1640.65,1641.49,1640.36,1642.15
297.475,1696.79,1697.16,1697.09,1698,1696.79,1698.68
297.35,1654.64,1655.03,1654.96,1655.95,1654.64,1656.65
297.225,1642.14,1642.55,1642.47,1643.55,1642.14,1644.27
297.1,1645.36,1645.77,1645.69,1646.9,1645.36,1647.65
296.975,1576.07,1576.5,1576.42,1577.75,1576.07,1578.52
296.85,1610,1610.44,1610.36,1611.81,1610,1612.61
296.725,1573.21,1573.67,1573.59,1575.16,1573.21,1575.99
296.6,1615.71,1616.19,1616.1,1617.88,1615.71,1618.74
296.475,1565.36,1565.84,1565.76,1567.75,1565.36,1568.64
296.35,1539.29,1539.79,1539.7,1541.84,1539.29,1542.76
296.225,1507.5,1508.02,1507.93,1510.32,1507.5,1511.27
296.1,1532.5,1533.04,1532.95,1535.61,1532.5,1536.6
295.975,1510.36,1510.91,1510.83,1513.81,1510.36,1514.84
295.85,1511.07,1511.65,1511.56,1514.92,1511.07,1515.99
295.725,1470.36,1470.95,1470.86,1474.67,1470.36,1475.77
295.6,1425.71,1426.33,1426.24,1430.56,1425.71,1431.7
295.475,1443.93,1444.57,1444.48,1449.4,1443.93,1450.59
295.35,1402.14,1402.81,1402.71,1408.36,1402.14,1409.59
295.225,1423.21,1423.9,1423.81,1430.32,1423.21,1431.6
295.1,1456.79,1457.5,1457.4,1464.95,1456.79,1466.29
294.975,1363.93,1364.67,1364.58,1373.39,1363.93,1374.78
294.85,1357.5,1358.27,1358.18,1368.56,1357.5,1370
294.725,1387.14,1387.94,1387.85,1400.18,1387.14,1401.69
294.6,1344.29,1345.12,1345.03,1359.83,1344.29,1361.4
294.475,1308.93,1309.79,1309.7,1327.69,1308.93,1329.33
294.35,1330.71,1331.61,1331.52,1353.71,1330.71,1355.42
294.225,1360,1360.93,1360.85,1388.7,1360,1390.49
294.1,1328.93,1329.9,1329.82,1365.59,1328.93,1367.45
293.975,1293.57,1312.98,1312.89,1360.15,1311.96,1362.1
293.85,1313.57,1313.02,1312.93,1377.58,1311.95,1379.62
293.725,1324.64,1313.02,1312.94,1404.85,1311.91,1406.99
293.6,1405,1312.73,1312.66,1448.56,1311.57,1450.81
293.475,1457.14,1312.26,1312.2,1519.94,1311.05,1522.29
293.35,1616.43,1311.23,1311.17,1635.27,1309.96,1637.74
293.225,1757.86,1309.69,1309.63,1816.84,1308.36,1819.43
293.1,2176.43,1306.65,1306.6,2088.68,1305.26,2091.41
292.975,2554.29,1302.25,1302.22,2471.2,1300.8,2474.07
292.85,3023.57,1296.16,1296.15,2968.31,1294.64,2971.33
292.725,3523.57,1288.27,1288.26,3555.5,1286.68,3558.67
292.6,4225,1277.86,1277.86,4171.71,1276.18,4175.07
292.475,4677.5,1265.8,1265.82,4726.61,1264.03,4730.17
292.35,5107.14,1252.15,1252.21,5118.25,1250.3,5122.01
292.225,5183.93,1238.19,1238.27,5265.42,1236.24,5269.39
292.1,5187.86,1224.17,1224.27,5133.57,1222.12,5137.76
291.975,4766.79,1211.63,1211.75,4749.71,1209.46,4754.17
291.85,4218.93,1201.01,1201.17,4190.78,1198.71,4195.55
291.725,3652.5,1192.37,1192.58,3557.95,1189.94,3563.02
291.6,2918.21,1186.32,1186.59,2946.65,1183.76,2952.03
291.475,2403.57,1182.09,1182.41,2422.02,1179.4,2427.71
291.35,2008.57,1179.31,1179.69,2013.42,1176.44,2019.54
291.225,1683.57,1177.7,1178.17,1720.06,1174.63,1726.66
291.1,1501.79,1176.72,1177.28,1522.78,1173.46,1529.86
290.975,1361.07,1176.25,1176.89,1396.67,1172.79,1404.23
290.85,1264.64,1176.12,1176.85,1318.63,1172.46,1326.67
290.725,1231.07,1176.15,1177.09,1270.83,1172.25,1279.57
290.6,1192.86,1176.39,1177.5,1241.33,1172.18,1250.87
290.475,1163.57,1176.67,1177.79,1222.63,1172.15,1232.79
290.35,1188.57,1176.93,1178.26,1210.29,1172.09,1221.3
290.225,1196.07,1177.15,1178.78,1201.79,1172,1213.71
290.1,1191.79,1177.41,1179.39,1195.72,1171.93,1208.65
289.975,1180,1177.91,1180.13,1191.26,1171.9,1205.5
289.85,1143.93,1150.46,1153.04,1159.93,1143.93,1175.58
289.725,1164.29,1171.15,1174.42,1177.68,1164.29,1194.69
289.6,1160.71,1168.15,1172.03,1172.06,1160.71,1190.81
289.475,1186.07,1194.14,1198.77,1195.77,1186.07,1216.53
289.35,1154.29,1163.07,1168.59,1162.64,1154.29,1185.73
289.225,1143.57,1153.16,1159.78,1150.83,1143.57,1176.62
289.1,1142.86,1153.34,1161.32,1149.2,1142.86,1178.15
288.975,1136.07,1147.58,1157.24,1141.65,1136.07,1174.33
288.85,1176.43,1189.09,1200.87,1181.37,1176.43,1218.47
288.725,1143.21,1192.41,1206.89,1182.82,1178.43,1225.26
288.6,1215.71,1193.9,1211.84,1182.33,1178.41,1231.25
288.475,1169.64,1195.64,1218.09,1181.92,1178.41,1238.83
288.35,1146.43,1197.63,1226.07,1181.56,1178.39,1248.48
288.225,1202.5,1199.96,1236.52,1181.24,1178.38,1260.96
288.1,1223.57,1202.69,1250.51,1180.95,1178.35,1277.43
287.975,1222.5,1205.91,1269.89,1180.76,1178.33,1299.91
287.85,1284.29,1209.72,1297.69,1180.47,1178.27,1331.34
287.725,1325.71,1214.29,1338.93,1180.16,1178.19,1377
287.6,1448.93,1219.79,1401.97,1179.87,1178.04,1445.56
287.475,1522.86,1226.54,1500.71,1179.55,1177.85,1551.09
287.35,1734.64,1234.89,1656.35,1179.1,1177.54,1715.26
287.225,1984.29,1245.42,1899.63,1178.52,1177.1,1969.38
287.1,2442.5,1258.9,2270.82,1177.72,1176.4,2354.63
286.975,3015.36,1276.68,2814.83,1176.62,1175.39,2917.35
286.85,3746.79,1300.81,3570.22,1175.12,1173.97,3698.21
286.725,4730.71,1334.72,4552.66,1173.08,1172.02,4716.43
286.6,5961.07,1383.62,5735.33,1170.36,1169.38,5950.55
286.475,7291.43,1456.13,7031.61,1166.93,1166.01,7322.66
286.35,8620.71,1565.52,8297.73,1162.77,1161.9,8702.22
286.225,9889.64,1731.27,9353.05,1157.91,1157.1,9928.03
286.1,10865.4,1981.14,10020.8,1152.51,1151.75,10850.9
285.975,11409.6,2349.44,10180.2,1146.81,1146.11,11384.2
285.85,11528.6,2876.75,9800.44,1141.06,1140.39,11537.5
285.725,11568.6,3600.57,8950.25,1135.28,1134.65,11416.8
285.6,11165.4,4546.52,7779.58,1129.72,1129.13,11197.6
285.475,11160.4,5713.91,6472.05,1124.16,1123.61,11062.9
285.35,11094.6,7060.22,5197.59,1118.64,1118.12,11140.2
285.225,11236.1,8496.3,4079.28,1113.05,1112.55,11463.5
285.1,11928.9,9886.82,3177.94,1107.06,1106.59,11958.6
284.975,12379.3,11070.5,2501.77,1100.83,1100.38,12472.3
284.85,12991.1,11888.3,2023.71,1094.26,1093.84,12818.6
284.725,12982.9,12223.3,1701.09,1087.7,1087.29,12837.5
284.6,12508.6,12020.4,1489.87,1081.39,1081.01,12429.6
284.475,11681.4,11313.2,1353.63,1075.53,1075.17,11592
284.35,10285.4,10203.4,1265.83,1070.44,1070.1,10399.5
284.225,8717.14,8842.71,1208.32,1066.22,1065.89,8985.47
284.1,7467.5,7394.96,1169.54,1062.68,1062.36,7502.45
283.975,6008.93,6004.9,1142.76,1059.94,1059.64,6088.32
283.85,4843.57,4774.79,1123.68,1057.84,1057.56,4841.2
283.725,3876.43,3759.65,1109.68,1056.28,1056.01,3813.59
283.6,3143.93,2969.88,1099.14,1055.12,1054.86,3014.43
283.475,2592.86,2385.62,1091.05,1054.26,1054.01,2422.91
283.35,2147.5,1971.71,1084.75,1053.65,1053.41,2003.29
283.225,1837.86,1687.22,1079.75,1053.2,1052.98,1714.23
283.1,1587.5,1496.31,1075.76,1052.9,1052.68,1519.6
282.975,1463.21,1369.19,1072.5,1052.67,1052.46,1389.45
282.85,1316.07,1284.43,1069.84,1052.51,1052.31,1302.15
282.725,1258.93,1227.15,1067.62,1052.39,1052.2,1242.77
282.6,1204.64,1187.55,1065.75,1052.3,1052.11,1201.38
282.475,1143.93,1159.55,1064.19,1052.24,1052.06,1171.86
282.35,1137.86,1139.12,1062.85,1052.19,1052.02,1150.13
282.225,1111.43,1123.82,1061.7,1052.15,1051.98,1133.7
282.1,1077.86,1112.06,1060.72,1052.13,1051.97,1120.97
281.975,1094.29,1102.81,1059.86,1052.1,1051.95,1110.88
281.85,1108.57,1095.42,1059.09,1052.06,1051.91,1102.74
281.725,1064.29,1089.44,1058.43,1052.05,1051.91,1096.11
281.6,1056.07,1084.54,1057.86,1052.04,1051.9,1090.64
281.475,1035.36,1063.93,1040.81,1035.49,1035.36,1069.51
281.35,1067.14,1092.31,1072.28,1067.27,1067.14,1097.57
281.225,1013.57,1035.86,1018.22,1013.69,1013.57,1040.64
281.1,1051.43,1071.27,1055.7,1051.55,1051.43,1075.67
280.975,1049.29,1067.03,1053.28,1049.4,1049.29,1071.14
280.85,1031.79,1047.73,1035.49,1031.9,1031.79,1051.54
280.725,1052.86,1067.23,1056.28,1052.96,1052.86,1070.76
280.6,1067.14,1080.15,1070.28,1067.25,1067.14,1083.39
280.475,1042.5,1054.31,1045.43,1042.6,1042.5,1057.34
280.35,1061.07,1071.82,1063.83,1061.17,1061.07,1074.68
280.225,1050.36,1060.18,1052.93,1050.45,1050.36,1062.85
280.1,1055.36,1064.35,1057.76,1055.45,1055.36,1066.84
279.975,1033.21,1041.47,1035.44,1033.3,1033.21,1043.79
279.85,993.214,1000.82,995.312,993.3,993.214,1003
279.725,1043.93,1050.94,1045.91,1044.01,1043.93,1053.01
279.6,1046.79,1053.47,1048.65,1046.87,1046.79,1055.41
279.475,1043.57,1049.72,1045.32,1043.65,1043.57,1051.55
279.35,997.143,1002.76,998.775,997.218,997.143,1004.47
279.225,1045.36,1050.59,1046.91,1045.43,1045.36,1052.22
279.1,1035,1039.92,1036.47,1035.07,1035,1041.47
