,,,,,,,,
,,,,,,,,
Characteristic Energy eV,1486.6,Acquisition Time s,2.5,,,,,
BE_C 1s 3,CPS_C 1s 3,C 1s_1_C 1s 3,C 1s_2_C 1s 3,C 1s (CF)_3_C 1s 3,C 1s (CF3)_4_C 1s 3,C 1s_5_C 1s 3,Background_C 1s 3,Envelope_C 1s 3
300,9372.4,9372.61,9372.63,9372.49,9372.5,9372.78,9372.4,9373.41
299.875,9407.2,9407.42,9407.44,9407.29,9407.3,9407.6,9407.2,9408.25
299.75,9261.2,9261.42,9261.44,9261.3,9261.31,9261.61,9261.2,9262.29
299.625,9268,9268.23,9268.25,9268.1,9268.12,9268.43,9268,9269.12
299.5,9386,9386.23,9386.26,9386.1,9386.12,9386.44,9386,9387.16
299.375,9304.8,9305.04,9305.07,9304.91,9304.93,9305.26,9304.8,9306.01
299.25,9204.8,9205.05,9205.08,9204.91,9204.94,9205.28,9204.8,9206.05
299.125,9355.2,9355.45,9355.48,9355.32,9355.35,9355.69,9355.2,9356.5
299,9234.8,9235.06,9235.09,9234.92,9234.96,9235.31,9234.8,9236.14
298.875,9292,9292.27,9292.3,9292.13,9292.17,9292.52,9292,9293.39
298.75,9312.8,9313.07,9313.11,9312.94,9312.98,9313.34,9312.8,9314.24
298.625,9198,9198.28,9198.32,9198.14,9198.19,9198.56,9198,9199.5
298.5,9350,9350.29,9350.33,9350.15,9350.21,9350.59,9350,9351.57
298.375,9234.8,9235.1,9235.14,9234.96,9235.02,9235.41,9234.8,9236.43
298.25,9341.2,9341.51,9341.55,9341.37,9341.43,9341.84,9341.2,9342.9
298.125,9372.8,9373.12,9373.16,9372.97,9373.05,9373.47,9372.8,9374.57
298,9179.6,9179.92,9179.97,9179.78,9179.87,9180.27,9179.6,9181.43
297.875,9244,9244.34,9244.39,9244.19,9244.29,9244.7,9244,9245.91
297.75,9297.2,9297.55,9297.6,9297.4,9297.52,9297.93,9297.2,9299.2
297.625,9259.2,9259.56,9259.61,9259.42,9259.55,9259.96,9259.2,9261.29
297.5,9313.6,9313.97,9314.03,9313.83,9313.98,9314.39,9313.6,9315.79
297.375,9276,9276.38,9276.44,9276.24,9276.41,9276.83,9276,9278.3
297.25,9284,9284.39,9284.46,9284.26,9284.45,9284.86,9284,9286.41
297.125,9234.4,9234.8,9234.87,9234.67,9234.89,9235.3,9234.4,9236.94
297,9247.2,9247.62,9247.69,9247.49,9247.74,9248.14,9247.2,9249.88
296.875,9179.6,9180.03,9180.11,9179.9,9180.2,9180.58,9179.6,9182.42
296.75,9226.8,9227.24,9227.33,9227.12,9227.46,9227.83,9226.8,9229.79
296.625,9181.2,9181.66,9181.75,9181.55,9181.94,9182.28,9181.2,9184.37
296.5,9290,9290.47,9290.57,9290.37,9290.82,9291.13,9290,9293.36
296.375,9200.8,9201.29,9201.39,9201.19,9201.72,9201.98,9200.8,9204.38
296.25,9263.2,9263.71,9263.81,9263.62,9264.24,9264.44,9263.2,9267.02
296.125,9221.6,9222.12,9222.23,9222.05,9222.78,9222.91,9221.6,9225.69
296,9201.2,9201.74,9201.86,9201.69,9202.55,9202.57,9201.2,9205.61
295.875,9240.8,9241.36,9241.49,9241.33,9242.35,9242.24,9240.8,9245.57
295.75,9256,9256.58,9256.72,9256.56,9257.8,9257.52,9256,9261.18
295.625,9156,9156.6,9156.75,9156.6,9158.1,9157.6,9156,9161.65
295.5,9236.8,9237.42,9237.58,9237.45,9239.28,9238.49,9236.8,9243.03
295.375,9176.4,9177.05,9177.21,9177.12,9179.37,9178.19,9176.4,9183.33
295.25,9224.4,9219.33,9219.49,9219.44,9222.27,9220.55,9218.66,9226.44
295.125,9255.2,9219.32,9219.5,9219.44,9223.08,9220.62,9218.62,9227.48
295,9203.2,9219.32,9219.52,9219.5,9224.23,9220.72,9218.6,9228.89
294.875,9266.4,9219.3,9219.51,9219.53,9225.81,9220.8,9218.55,9230.76
294.75,9244.8,9219.3,9219.53,9219.6,9228.11,9220.91,9218.52,9233.36
294.625,9259.2,9219.29,9219.53,9219.66,9231.41,9221.01,9218.47,9237
294.5,9199.6,9219.3,9219.55,9219.76,9236.23,9221.16,9218.45,9242.19
294.375,9204.4,9219.32,9219.58,9219.88,9243.17,9221.32,9218.44,9249.53
294.25,9175.2,9219.3,9219.59,9220,9253.01,9221.47,9218.39,9259.82
294.125,9181.2,9219.3,9219.62,9220.14,9266.7,9221.65,9218.35,9274.02
294,9369.6,9219.17,9219.52,9220.19,9285.04,9221.72,9218.18,9292.93
293.875,9235.6,9219.2,9219.57,9220.42,9309.08,9221.96,9218.16,9317.6
293.75,9269.2,9219.19,9219.58,9220.66,9339,9222.2,9218.1,9348.23
293.625,9429.6,9219,9219.41,9220.78,9374.3,9222.28,9217.86,9384.32
293.5,9493.6,9218.74,9219.18,9220.89,9413.8,9222.33,9217.55,9424.73
293.375,9524,9218.44,9218.91,9221.06,9455.23,9222.39,9217.21,9467.2
293.25,9420,9218.28,9218.8,9221.46,9495.47,9222.61,9216.98,9508.69
293.125,9604.4,9217.92,9218.49,9221.81,9530.38,9222.68,9216.55,9545.08
293,9551.2,9217.61,9218.23,9222.41,9556.38,9222.87,9216.17,9572.81
292.875,9676,9217.16,9217.77,9223.14,9570.23,9223,9215.66,9588.69
292.75,9578.8,9216.82,9217.49,9224.37,9570.42,9223.34,9215.25,9591.45
292.625,9490.4,9216.58,9217.32,9226.26,9556.81,9223.88,9214.94,9581.09
292.5,9522.8,9216.33,9217.12,9228.95,9530.94,9224.52,9214.59,9559.49
292.375,9506.8,9216.11,9216.96,9232.98,9495.88,9225.34,9214.27,9530.2
292.25,9503.2,9215.89,9216.81,9239.06,9455.37,9226.37,9213.94,9497.72
292.125,9538,9215.63,9216.64,9248.37,9413.21,9227.6,9213.58,9467.13
292,9483.6,9215.43,9216.54,9262.93,9372.82,9229.2,9213.28,9443.82
291.875,9415.6,9215.31,9216.54,9285.6,9336.64,9231.26,9213.05,9433.16
291.75,9411.6,9215.22,9216.57,9320.29,9305.98,9233.8,9212.83,9440.55
291.625,9521.2,9215.04,9216.5,9371.87,9281.09,9236.79,9212.48,9471.37
291.5,9524,9214.85,9216.45,9445.9,9261.79,9240.52,9212.13,9531
291.375,9694.8,9214.48,9216.25,9546.76,9247.18,9244.97,9211.59,9623.29
291.25,9725.6,9214.07,9216.04,9676.45,9236.44,9250.52,9211.01,9749.47
291.125,9865.6,9213.5,9215.72,9831.72,9228.53,9257.29,9210.28,9905.65
291,10096.4,9212.7,9215.18,10002.7,9222.55,9265.54,9209.28,10081.6
290.875,10193.2,9211.88,9214.59,10173.1,9218,9275.74,9208.18,10260.6
290.75,10462,9210.76,9213.76,10321.3,9214.2,9288.11,9206.77,10421
290.625,10555.6,9209.4,9212.89,10425.6,9211,9303.32,9205.26,10541.2
290.5,10666,9208.06,9211.98,10468.8,9208.16,9321.87,9203.62,10604.4
290.375,10600.4,9206.82,9211.24,10443.7,9205.72,9344.43,9202.05,10603.7
290.25,10541.6,9205.67,9210.69,10354.2,9203.57,9371.48,9200.55,10543.4
290.125,10432,9204.68,9210.39,10214.9,9201.69,9403.63,9199.17,10438.6
290,10278.4,9203.91,9210.43,10046.7,9200.09,9441.29,9197.96,10310.6
289.875,10121.6,9203.36,9210.84,9871.77,9198.74,9484.7,9196.92,10181.7
289.75,10078,9202.91,9211.55,9708.28,9197.5,9533.87,9195.93,10070.4
289.625,10092.4,9202.5,9212.54,9568.26,9196.29,9588.71,9194.93,9988.59
289.5,9935.6,9202.34,9214.08,9456.91,9195.29,9648.95,9194.09,9941.19
289.375,9891.6,9202.31,9216.13,9373.62,9194.37,9713.83,9193.31,9927.02
289.25,10059.6,9202.19,9218.62,9314.19,9193.27,9782.19,9192.34,9941.1
289.125,9959.2,9202.29,9222.01,9273.58,9192.31,9853.02,9191.48,9977.29
289,10027.2,9202.44,9226.38,9246.41,9191.29,9924.53,9190.54,10028.9
288.875,10079.2,9202.69,9232.13,9228.36,9190.21,9994.95,9189.54,10090.2
288.75,10202.4,9202.99,9239.67,9216.16,9189.01,10062.1,9188.41,10156.3
288.625,10197.6,9203.51,9249.89,9207.75,9187.82,10124.1,9187.28,10223.9
288.5,10238.4,9204.25,9263.69,9201.67,9186.59,10178.8,9186.1,10290.6
288.375,10332.4,9205.2,9282.42,9196.98,9185.26,10224.1,9184.81,10354.8
288.25,10453.6,9206.42,9307.92,9193.14,9183.8,10258.3,9183.39,10416
288.125,10366,9208.22,9342.83,9190.02,9182.44,10280.4,9182.06,10475.6
288,10499.2,9210.49,9390.15,9187.18,9180.93,10289.1,9180.58,10535.6
287.875,10569.2,9213.47,9453.63,9184.57,9179.34,10284.1,9179.02,10599
287.75,10794,9217.22,9537.68,9181.92,9177.51,10265.4,9177.21,10670.8
287.625,10707.2,9222.42,9647.39,9179.53,9175.77,10234,9175.5,10757.1
287.5,10931.6,9229.19,9787.11,9177.02,9173.78,10190.7,9173.52,10863.7
287.375,11042,9238.36,9961.31,9174.47,9171.66,10137.1,9171.43,10997.2
287.25,11235.6,9250.91,10172.1,9171.78,9169.33,10075,9169.11,11162.6
287.125,11325.6,9268.49,10419.9,9169.05,9166.9,10006.6,9166.69,11364.2
287,11643.6,9293.18,10701.1,9166,9164.11,9933.69,9163.91,11602.4
286.875,11946,9328.42,11008.1,9162.65,9160.97,9858.39,9160.79,11875.4
286.75,12074.4,9379.42,11329.6,9159.19,9157.69,9782.85,9157.52,12178.6
286.625,12388.4,9453.18,11649.4,9155.39,9154.06,9708.53,9153.9,12504.9
286.5,12790,9559.1,11948.6,9151.17,9149.97,9636.83,9149.82,12846.4
286.375,13267.6,9709.89,12207.3,9146.42,9145.34,9568.75,9145.2,13196.9
286.25,13526.4,9920.19,12406.6,9141.39,9140.41,9505.33,9140.28,13552.8
286.125,13942.8,10206.6,12530.5,9135.9,9135.02,9446.91,9134.89,13915.4
286,14224.8,10584,12569.3,9130.11,9129.3,9393.92,9129.18,14289.9
285.875,14660.4,11063.3,12518,9123.82,9123.09,9346.1,9122.98,14682.5
285.75,15219.6,11646.8,12381.4,9116.91,9116.24,9303.1,9116.13,15100
285.625,15489.6,12323.6,12169.6,9109.72,9109.08,9264.98,9108.98,15541
285.5,16162,13066.5,11898,9101.74,9101.16,9230.8,9101.07,15993.9
285.375,16409.6,13831.5,11586.3,9093.48,9092.96,9200.52,9092.87,16433.3
285.25,16866.4,14559.6,11254.1,9084.72,9084.23,9173.4,9084.15,16819.5
285.125,17023.2,15185.4,10920.5,9075.78,9075.32,9149.32,9075.24,17105.3
285,17264.8,15644.2,10601.3,9066.55,9066.13,9127.65,9066.05,17241.6
284.875,17056,15885.6,10308.6,9057.55,9057.16,9108.46,9057.09,17189.1
284.75,16928.4,15881.6,10049.7,9048.68,9048.32,9091.3,9048.25,16926.6
284.625,16415.2,15630.7,9828.63,9040.39,9040.05,9076.26,9039.99,16456.1
284.5,15796.4,15162.5,9644.96,9032.78,9032.47,9063.16,9032.41,15806.2
284.375,15062.8,14525.6,9496.73,9025.99,9025.7,9051.88,9025.64,15023.3
284.25,14214.8,13785.3,9379.66,9020.15,9019.88,9042.37,9019.82,14168.1
284.125,13480.4,13007.4,9288.95,9015.12,9014.87,9034.33,9014.81,13301.4
284,12510,12251.1,9220.1,9011.18,9010.94,9027.9,9010.89,12477.7
283.875,11792,11560.9,9168.26,9008.05,9007.82,9022.7,9007.77,11736.7
283.75,11070,10964.9,9129.79,9005.72,9005.5,9018.65,9005.46,11102.8
283.625,10514.4,10473.6,9101.23,9004.01,9003.81,9015.48,9003.76,10583.1
283.5,10065.2,10086.1,9080.06,9002.8,9002.62,9013.05,9002.57,10174.4
283.375,9734.4,9790.56,9064.28,9001.97,9001.79,9011.16,9001.75,9862.76
283.25,9606.8,9572.2,9052.27,9001.28,9001.11,9009.57,9001.07,9632.15
283.125,9395.6,9414.62,9043.17,9000.83,9000.67,9008.33,9000.63,9465.1
283,9229.2,9302.88,9036.18,9000.56,9000.41,9007.39,9000.37,9345.92
282.875,9139.2,9224.43,9030.72,9000.39,9000.25,9006.62,9000.22,9261.54
282.75,9122,9169.28,9026.34,9000.25,9000.12,9005.95,9000.08,9201.61
282.625,9113.6,9130.37,9022.76,9000.11,8999.99,9005.35,8999.95,9158.76
282.5,9145.6,9102.41,9019.75,8999.94,8999.82,9004.76,8999.79,9127.53
282.375,8948.8,9082.14,9017.33,8999.88,8999.76,9004.33,8999.73,9104.5
282.25,9000,9067.13,9015.34,8999.87,8999.76,9003.99,8999.73,9087.15
282.125,9028.8,9055.72,9013.61,8999.83,8999.73,9003.65,8999.7,9073.73
282,8936,9046.83,9012.09,8999.76,8999.66,9003.3,8999.63,9063.12
281.875,8995.6,9039.85,9010.84,8999.75,8999.65,9003.04,8999.62,9054.63
281.75,9012.4,9034.24,9009.74,8999.73,8999.64,9002.8,8999.61,9047.7
281.625,9008.4,9029.66,9008.79,8999.71,8999.62,9002.58,8999.6,9041.96
281.5,8978,9004.28,8986.36,8978.11,8978.02,8980.8,8978,9015.56
281.375,8937.6,8960.73,8945.23,8937.7,8937.62,8940.22,8937.6,8971.11
281.25,8924.4,8944.88,8931.38,8924.5,8924.42,8926.86,8924.4,8954.44
281.125,8932.8,8951.02,8939.21,8932.89,8932.82,8935.12,8932.8,8959.86
281,8965.6,8981.9,8971.5,8965.69,8965.62,8967.78,8965.6,8990.08
280.875,8972,8986.64,8977.44,8972.09,8972.02,8974.06,8972,8994.24
280.75,9002,9015.2,9007.03,9002.08,9002.02,9003.94,9002,9022.27
280.625,9028,9039.94,9032.66,9028.08,9028.02,9029.84,9028,9046.53
280.5,9001.6,9012.44,9005.92,9001.68,9001.62,9003.34,9001.6,9018.6
280.375,9022,9031.88,9026.02,9022.07,9022.02,9023.65,9022,9037.63
280.25,8904.4,8913.43,8908.14,8904.47,8904.42,8905.96,8904.4,8918.82
280.125,8876.4,8884.67,8879.89,8876.47,8876.42,8877.88,8876.4,8889.73
280,8904.8,8912.4,8908.07,8904.87,8904.82,8906.21,8904.8,8917.15
